term,definition,ipa,synonyms,antonyms
recourse,""" n. a source of help in a difficult situation. """"surgery may be the only recourse""""    n. the use of someone or something as a source of help in a difficult situation. """"a means of solving disputes without recourse to courts of law"""" """,rēˈkôrs,"option, possibility, alternative, possible course of action, resort, way out, place/person to turn to, source of assistance, available resource, hope, remedy, choice, expedient; refuge, resort to, make use of, use, avail oneself of, utilize, employ, turn to, call on, draw on, bring into play, bring into service, look to, appeal to",
achromatic,""" adj. relating to, using, or denoting lenses that transmit light without separating it into constituent colours.  """"achromatic microscopes""""   adj. without colour.  """"the achromatic gloom""""""",ˌakrəˈmadik,,
accost,""" v. approach and address (someone) boldly or aggressively. """"reporters accosted him in the street"""" """,əˈkôst,"speak to, talk to, call to, shout to, hail, initiate a discussion with",
apostate,""" n. a person who renounces a religious or political belief or principle.    adj. abandoning a religious or political belief or principle. """"an apostate Roman Catholic""""""",əˈpäˌstāt,"dissenter, heretic, nonconformist",
apologist,""" n. a person who offers an argument in defense of something controversial. """"an enthusiastic apologist for fascism in the 1920s""""    """"an apologist for hard-line government policies""""""",əˈpäləjəst,"defender, supporter, upholder, advocate, proponent, exponent, propagandist, apostle, champion, backer, promoter, campaigner, spokesman, spokeswoman, spokesperson, speaker, arguer, enthusiast",
antithetical,""" adj. directly opposed or contrasted; mutually incompatible. """"people whose religious beliefs are antithetical to mine"""" """,ˌan(t)əˈTHedək(ə)l,"(directly) opposed to, contrary to, contradictory to, conflicting with, incompatible with, irreconcilable with, inconsistent with, at variance with, at odds with, contrasting with, different from/to, differing from, divergent from, unlike",
anaerobic,""" adj. relating to, involving, or requiring an absence of free oxygen. """"anaerobic bacteria""""   adj. relating to or denoting exercise that does not improve or is not intended to improve the efficiency of the body's cardiovascular system in absorbing and transporting oxygen.""",ˌanəˈrōbik,,
agog,""" adj. very eager or curious to hear or see something. """"I'm all agog to see London"""" """,əˈɡäɡ,"eager, excited, impatient, in suspense, on tenterhooks, on the edge of one's seat, on pins and needles, keen, anxious, longing",
agglutinate,""" v. firmly stick or be stuck together to form a mass. """"this secretion may form crusts agglutinating the eyelids""""""",əˈɡlo͞otnˌāt,,
agape,""" adj. (of the mouth) wide open, especially with surprise or wonder.  """"Downes listened, mouth agape with incredulity""""""",əˈɡāp,,
affix,""" v. stick, attach, or fasten (something) to something else. """"he licked the stamp and affixed it to the envelope"""" """,əˈfiks,"attach, stick, fasten, bind, fix, post, secure, join, connect, couple",
aerate,""" v. introduce air into (a material).  """"before seeding, consider aerating the lawn""""""",ˈerāt,,
archipelago,""" n. a group of islands. """"the Indonesian archipelago""""""",ˌärkəˈpeləˌɡō,,
argot,""" n. the jargon or slang of a particular group or class. """"teenage argot"""" """,ˈärɡō,"jargon, slang, idiom, cant, dialect, parlance, patter, speech, vernacular, patois, terminology, language, tongue, -speak",
barb,"n. a sharp projection near the end of an arrow, fishhook, or similar item, angled away from the main point so as to make extraction difficult. synonyms:spike, prong, point, projection, spur, thorn, needle, prickle, spine, quill, bristle, tine",bärb,,
barefaced,""" adj. shameless and undisguised. """"a barefaced lie"""" """,ˈberˌfāst,"flagrant, blatant, glaring, obvious, undisguised, unconcealed, overt, open, transparent, patent, evident, manifest, palpable, unmistakable",
bawdy,"adj. dealing with sexual matters in a comical way; humorously indecent. synonyms:ribald, indecent, risqué, racy, rude, spicy, suggestive, titillating, naughty, improper, indelicate, indecorous, off color, earthy, broad, locker-room, Rabelaisian",ˈbôdē,,
bauble,"n. a small, showy trinket or decoration. synonyms:trinket, knickknack, ornament, toy, novelty, curiosity, gimmick, plaything, trifle, frippery, gewgaw, gimcrack, bagatelle, bibelot, furbelow",ˈbôbəl,,
blurb,"n. a short description of a book, movie, or other product written for promotional purposes and appearing on the cover of a book or in an advertisement.",blərb,,
blight,""" n. a thing that spoils or damages something. """"the vacant properties are a blight on the neighborhood""""    """"the government are protecting people from the blight of aircraft noise""""   v. have a severely detrimental effect on. """"the scandal blighted the careers of several leading politicians"""" """,blīt,"affliction, scourge, bane, curse, plague, menace, evil, misfortune, woe, calamity, trouble, ordeal, thorn in one's flesh/side, trial, tribulation, visitation, nuisance, pest, pollution, contamination, cancer, canker, ruin, wreck, spoil, disrupt, undo, mar, play havoc with, make a mess of, put an end to, end, bring to an end, put a stop to, prevent, frustrate, crush, quell, quash, dash, destroy, scotch, shatter, devastate, demolish, sabotage",
bibliophile,n. a person who collects or has a great love of books. synonyms:book lover,ˈbiblēəˌfīl,,
bevy,""" n. a large group of people or things of a particular kind. """"a bevy of big-name cameos will keep the adults entertained"""" """,ˈbevē,"group, gang, troop, troupe, party, company, band, body, crowd, pack, army, herd, flock, drove, horde, galaxy, assemblage, gathering",
benignant,""" adj. kindly and benevolent. """"an old man, with a face noble and benignant""""""",bəˈniɡnənt,,
belligerent,""" adj. hostile and aggressive. """"a bull-necked, belligerent old man"""" """,bəˈlijərənt,"hostile, aggressive, threatening, antagonistic, pugnacious, bellicose, truculent, confrontational, argumentative, quarrelsome, disputatious, contentious, militant, combative",
bedeck,""" v. decorate. """"he led us into a room bedecked with tinsel"""" """,bəˈdek,"decorate, adorn, ornament, trim, deck, enhance, beautify, prettify, embellish, furnish, garnish, grace, enrich, dress up, trick out",
bleach,""" v. whiten by exposure to sunlight or by a chemical process. """"paper products are bleached with chlorine""""    v. clean and sterilize. """"a new formula to bleach and brighten clothing""""""",blēCH,"maketurn pale, make/turn pallid, blanch, lighten, fade, wash out, decolor, decolorize, peroxide, etiolate",
cabal,""" n. a secret political clique or faction. """"a cabal of dissidents"""" """,kəˈbal,"clique, faction, coterie, group, set, band, party, camp, gang, ring, cell, sect, caucus, league, confederacy, junta",
busybody,""" n. a meddling or prying person. """"others considered him an interfering busybody"""" """,ˈbizēˌbädē,"meddler, interferer, mischief-maker, troublemaker, gossip, scandalmonger, muckraker, eavesdropper, intruder, ghoul, gawker",
burly,""" adj. (of a person) large and strong; heavily built. """"I saw a burly figure approaching"""" """,ˈbərlē,"strapping, well built, sturdy, sturdily built, powerfully built, broad-shouldered, brawny, strong, muscular, muscly, well muscled, athletic, thickset, big, hefty, bulky, robust, rugged, stocky, lusty, Herculean, vigorous",
breezeway,"n. a roofed outdoor passage, as between a house and a garage.",ˈbrēzˌwā,,
brackish,""" adj. (of water) slightly salty, as is the mixture of river water and seawater in estuaries. """"the fish lay their eggs in brackish water""""""",ˈbrakiSH,"slightly salty, slightly briny, saline, salt, salted",
bootless,""" adj. (of a task or undertaking) ineffectual; useless. """"words at this pass were vain and bootless"""" """,ˈbo͞otləs,"useless, ineffective, ineffectual, inefficacious, unproductive, fruitless, profitless, unrewarding, unsuccessful, nonsuccessful, without success, abortive, unavailing, to no avail, to no effect, to no purpose, futile, vain, in vain, pointless, worthless, nugatory",
reticence,""" n. the quality of being reticent; reserve. """"the traditional emotional reticence of the British"""" """,ˈredəsəns,"reserve, introversion, restraint, inhibition, diffidence, shyness, modesty, distance, undemonstrativeness",
unvarnished,""" adj. not covered with varnish.     stripped """"the unvarnished wood paneling""""   adj. (of a statement or manner) plain and straightforward. """"please tell me the unvarnished truth"""" """,ˌənˈvärniSHt,"bare, plain, unpainted, unlacquered, unpolished, unfinished, untreated, raw, natural, matt;, straightforward, plain, simple, stark, naked, bald",
cavort,""" v. jump or dance around excitedly. """"spider monkeys leap and cavort in the branches"""" """,kəˈvôrt,"skip, dance, romp, jig, caper, cut capers, frisk, gambol, prance, frolic, play, lark",
